t,detected,confidence,max_objectness,target_source,selection_reason
1783054003.201543,True,1.0,1.0,truth,target_distance_terminal
1783054003.2344747,True,1.0,1.0,truth,target_distance_terminal
1783054003.2704415,True,1.0,1.0,truth,target_distance_terminal
1783054003.3167236,True,1.0,1.0,truth,target_distance_terminal
1783054003.3427196,True,0.9999995231628418,0.9999995231628418,truth,target_distance_terminal
1783054003.3664865,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054003.4020083,True,1.0,1.0,truth,target_distance_terminal
1783054003.4338927,True,1.0,1.0,truth,target_distance_terminal
1783054003.467243,True,1.0,1.0,truth,target_distance_terminal
1783054003.5004725,True,1.0,1.0,truth,target_distance_terminal
1783054003.5341773,True,1.0,1.0,truth,target_distance_terminal
1783054003.5807283,True,1.0,1.0,truth,target_distance_terminal
1783054003.6073282,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054003.6443977,True,1.0,1.0,truth,target_distance_terminal
1783054003.669622,True,1.0,1.0,truth,target_distance_terminal
1783054003.6997776,True,1.0,1.0,truth,target_distance_terminal
1783054003.7365623,True,1.0,1.0,truth,target_distance_terminal
1783054003.7730463,True,1.0,1.0,truth,target_distance_terminal
1783054003.8065698,True,1.0,1.0,truth,target_distance_terminal
1783054003.8345044,True,0.9999988079071045,0.9999988079071045,truth,target_distance_terminal
1783054003.8685167,True,0.9999984502792358,0.9999984502792358,truth,target_distance_terminal
1783054003.9004562,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054003.9402559,True,1.0,1.0,truth,target_distance_terminal
1783054003.967672,True,1.0,1.0,truth,target_distance_terminal
1783054003.9998798,True,1.0,1.0,truth,target_distance_terminal
1783054004.0480669,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054004.0842617,True,0.9999985694885254,0.9999985694885254,truth,target_distance_terminal
1783054004.1169782,True,0.9999669790267944,0.9999669790267944,truth,target_distance_terminal
1783054004.152347,True,0.9999470710754395,0.9999470710754395,truth,target_distance_terminal
1783054004.184053,True,0.9999984502792358,0.9999984502792358,truth,target_distance_terminal
1783054004.2185042,True,0.9999951124191284,0.9999951124191284,truth,target_distance_terminal
1783054004.2506564,True,0.9999995231628418,0.9999995231628418,truth,target_distance_terminal
1783054004.2865906,True,0.9999992847442627,0.9999992847442627,truth,target_distance_terminal
1783054004.3179176,True,0.9999997615814209,0.9999997615814209,truth,target_distance_terminal
1783054004.3499503,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054004.3905375,True,0.9999978542327881,0.9999978542327881,truth,target_distance_terminal
1783054004.4223692,True,0.9999982118606567,0.9999982118606567,truth,target_distance_terminal
