t,detected,confidence,max_objectness,target_source,selection_reason
1783055779.814127,True,0.9997743964195251,0.9997743964195251,truth,target_distance_terminal
1783055779.846348,True,0.9996845722198486,0.9996845722198486,truth,target_distance_terminal
1783055779.8812978,True,0.9996262788772583,0.9996262788772583,truth,target_distance_terminal
1783055779.913044,True,0.9992314577102661,0.9992314577102661,truth,target_distance_terminal
1783055779.947749,True,0.999722421169281,0.999722421169281,truth,target_distance_terminal
1783055779.981907,True,0.9999650716781616,0.9999650716781616,truth,target_distance_terminal
1783055780.012937,True,0.9999749660491943,0.9999749660491943,truth,target_distance_terminal
1783055780.0567198,True,0.9999635219573975,0.9999635219573975,truth,target_distance_terminal
1783055780.082449,True,0.9995377063751221,0.9995377063751221,truth,target_distance_terminal
1783055780.1142411,True,0.9998255372047424,0.9998255372047424,truth,target_distance_terminal
1783055780.147981,True,0.999716579914093,0.999716579914093,truth,target_distance_terminal
1783055780.1807253,True,0.9995812773704529,0.9995812773704529,truth,target_distance_terminal
1783055780.2154844,True,0.999382495880127,0.999382495880127,truth,target_distance_terminal
1783055780.2464159,True,0.974497377872467,0.974497377872467,truth,target_distance_terminal
1783055780.2811258,True,0.9629066586494446,0.9629066586494446,truth,target_distance_terminal
1783055780.3132694,True,0.9650851488113403,0.9650851488113403,truth,target_distance_terminal
1783055780.3481967,True,0.7855210304260254,0.7855210304260254,truth,target_distance_terminal
1783055780.3814695,True,0.8151745200157166,0.8151745200157166,truth,target_distance_terminal
1783055780.4133136,True,0.620383083820343,0.620383083820343,truth,target_distance_terminal
1783055780.4478004,True,0.9553146958351135,0.9553146958351135,truth,target_distance_terminal
1783055780.4824579,True,0.9978420734405518,0.9978420734405518,truth,target_distance_terminal
1783055780.5160325,True,0.9995452761650085,0.9995452761650085,truth,target_distance_terminal
1783055780.5477204,True,0.9998537302017212,0.9998537302017212,truth,target_distance_terminal
1783055780.588714,True,0.9999277591705322,0.9999277591705322,truth,target_distance_terminal
1783055780.6158237,True,0.9971351623535156,0.9971351623535156,truth,target_distance_terminal
1783055780.6479921,True,0.9916855096817017,0.9916855096817017,truth,target_distance_terminal
1783055780.6794682,True,0.9979931116104126,0.9979931116104126,truth,target_distance_terminal
1783055780.7134516,True,0.9992941617965698,0.9992941617965698,truth,target_distance_terminal
1783055780.7476432,True,0.9966922998428345,0.9966922998428345,truth,target_distance_terminal
1783055780.7814534,True,0.9976226687431335,0.9976226687431335,truth,target_distance_terminal
1783055780.8129597,True,0.9882377982139587,0.9882377982139587,truth,target_distance_terminal
1783055780.8471541,True,0.9984508752822876,0.9984508752822876,truth,target_distance_terminal
1783055780.883146,True,0.998308539390564,0.998308539390564,truth,target_distance_terminal
1783055780.914626,True,0.9718899726867676,0.9718899726867676,truth,target_distance_terminal
1783055780.9468794,True,0.9855839014053345,0.9855839014053345,truth,target_distance_terminal
